Result Number,Entity  ID,Agency,Vendor ID,Recording Technique,Project,Event,Roll,Frame,Acquisition Date,Scale,Strip Number,Image Type,Quality,Cloud Cover,Photo ID,Flying Height in Feet,Film Length and Width,Focal Length,Stereo Overlap,Other,Center Latitude,Center Longitude,NW Corner Lat ,NW Corner Long,NE Corner lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
1,AR5780026677908,5,,2,78000,,002667,7908,1978/08/26,64166,0000,13,8,1,5780026677908,65003,229mm x 229mm,304.68 mm,5,,61°35'11.32"N,154°38'53.28"W,61°38'56.27"N,154°47'17.45"W,61°38'48.42"N,154°31'55.09"W,61°31'27.27"N,154°30'31.10"W,61°31'33.19"N,154°45'53.46"W,61.586478,-154.648132,61.648963,-154.78818,61.646783,-154.53197,61.524241,-154.50864,61.525885,-154.76485,AR5780026677908,AR5780026677908,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677908
2,AR5780026677844,5,,2,78000,,002667,7844,1978/08/26,65000,0000,13,8,1,5780026677844,65003,229mm x 229mm,304.68 mm,6,,61°29'06.08"N,154°46'20.71"W,61°32'51.17"N,154°54'29.99"W,61°32'48.00"N,154°39'00.00"W,61°25'24.00"N,154°38'17.99"W,61°25'20.84"N,154°53'48.01"W,61.485022,-154.77242,61.547548,-154.90833,61.546667,-154.65,61.423333,-154.63833,61.422455,-154.89667,AR5780026677844,AR5780026677844,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677844
3,AR5780026677907,5,,2,78000,,002667,7907,1978/08/26,64166,0000,13,8,1,5780026677907,65003,229mm x 229mm,304.68 mm,5,,61°35'14.59"N,154°46'11.00"W,61°39'00.00"N,154°54'36.00"W,61°38'52.14"N,154°39'11.99"W,61°31'30.07"N,154°37'48.00"W,61°31'36.00"N,154°53'12.01"W,61.587386,-154.769722,61.65,-154.91,61.647816,-154.65333,61.52502,-154.63,61.526667,-154.88667,AR5780026677907,AR5780026677907,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677907
4,AR5780026677843,5,,2,78000,,002667,7843,1978/08/26,65000,0000,13,8,1,5780026677843,65003,229mm x 229mm,304.68 mm,6,,61°29'06.06"N,154°53'14.72"W,61°32'52.58"N,155°01'22.51"W,61°32'49.40"N,154°45'49.50"W,61°25'22.59"N,154°45'13.50"W,61°25'19.41"N,155°00'46.51"W,61.485016,-154.887421,61.547939,-155.02292,61.547055,-154.76375,61.422941,-154.75375,61.422059,-155.01292,AR5780026677843,AR5780026677843,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677843
5,AR5780026677906,5,,2,78000,,002667,7906,1978/08/26,64000,0000,13,8,2,5780026677906,65003,229mm x 229mm,304.68 mm,0,,61°35'12.72"N,154°52'52.55"W,61°38'48.00"N,155°00'36.00"W,61°38'54.00"N,154°45'30.00"W,61°31'36.00"N,154°45'06.00"W,61°31'30.00"N,155°00'18.00"W,61.586867,-154.881265,61.646667,-155.01,61.648333,-154.758333,61.526667,-154.751667,61.525,-155.005,AR5780026677906,AR5780026677906,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677906
6,AR5780026677842,5,,2,78000,,002667,7842,1978/08/26,65000,0000,13,8,1,5780026677842,65003,229mm x 229mm,304.68 mm,6,,61°29'06.06"N,155°00'08.70"W,61°32'54.00"N,155°08'17.99"W,61°32'50.81"N,154°52'41.99"W,61°25'21.18"N,154°52'05.99"W,61°25'18.00"N,155°07'41.99"W,61.485016,-155.002416,61.548333,-155.13833,61.547446,-154.87833,61.422551,-154.86833,61.421667,-155.12833,AR5780026677842,AR5780026677842,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677842
7,AR5780026677839,5,,2,78000,,002667,7839,1978/08/26,65000,0000,13,8,1,5780026677839,65003,229mm x 229mm,304.68 mm,5,,61°17'58.75"N,154°52'32.68"W,61°21'42.00"N,155°00'18.00"W,61°21'48.32"N,154°44'35.99"W,61°14'18.69"N,154°44'53.99"W,61°14'06.00"N,155°00'36.00"W,61.299654,-154.875745,61.361667,-155.005,61.363423,-154.74333,61.238524,-154.74833,61.235,-155.01,AR5780026677839,AR5780026677839,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677839
8,AR5780026677840,5,,2,78000,,002667,7840,1978/08/26,65500,0000,13,8,1,5780026677840,65003,229mm x 229mm,304.68 mm,6,,61°17'55.07"N,154°59'39.75"W,61°21'40.37"N,155°07'12.00"W,61°21'36.00"N,154°51'54.00"W,61°14'12.00"N,154°52'12.00"W,61°14'12.00"N,155°07'30.00"W,61.29863,-154.994375,61.361215,-155.12,61.36,-154.865,61.236667,-154.87,61.236667,-155.125,AR5780026677840,AR5780026677840,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677840
9,AR5780026677841,5,,2,78000,,002667,7841,1978/08/26,65500,0000,13,8,1,5780026677841,65003,229mm x 229mm,304.68 mm,6,,61°17'55.90"N,155°05'09.73"W,61°21'42.00"N,155°12'54.00"W,61°21'37.60"N,154°57'29.99"W,61°14'12.00"N,154°57'29.99"W,61°14'12.00"N,155°12'54.00"W,61.29886,-155.086035,61.361667,-155.215,61.360445,-154.95833,61.236667,-154.95833,61.236667,-155.215,AR5780026677841,AR5780026677841,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677841
10,AR5780026677510,5,,2,78000,,002667,7510,1978/08/26,65857,0000,13,8,0,5780026677510,65003,229mm x 229mm,304.68 mm,5,,60°25'27.80"N,156°00'54.02"W,60°29'24.00"N,156°08'17.99"W,60°29'01.63"N,155°53'12.01"W,60°21'31.59"N,155°53'30.01"W,60°21'54.00"N,156°08'35.99"W,60.42439,-156.015006,60.49,-156.13833,60.483786,-155.88667,60.358775,-155.89167,60.365,-156.14333,AR5780026677510,AR5780026677510,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677510
11,AR5780026677509,5,,2,78000,,002667,7509,1978/08/26,65857,0000,13,8,0,5780026677509,65003,229mm x 229mm,304.68 mm,5,,60°25'17.68"N,155°54'04.02"W,60°29'13.82"N,156°01'25.50"W,60°28'51.42"N,155°46'18.52"W,60°21'21.51"N,155°46'42.49"W,60°21'43.95"N,156°01'49.51"W,60.421577,-155.901118,60.487171,-156.02375,60.48095,-155.77181,60.355975,-155.77847,60.362207,-156.03042,AR5780026677509,AR5780026677509,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677509
12,AR5780026677512,5,,2,78000,,002667,7512,1978/08/26,64500,0000,13,8,0,5780026677512,65003,229mm x 229mm,304.68 mm,5,,60°12'04.32"N,156°07'20.49"W,60°15'46.90"N,156°14'28.00"W,60°15'44.32"N,155°59'49.99"W,60°08'19.15"N,156°00'07.99"W,60°08'26.76"N,156°14'46.00"W,60.2012,-156.122357,60.263028,-156.24111,60.262311,-155.99722,60.138652,-156.00222,60.140766,-156.24611,AR5780026677512,AR5780026677512,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677512
13,AR5780026677736,5,,2,78000,,002667,7736,1978/08/26,66000,0000,13,8,1,5780026677736,65003,229mm x 229mm,304.68 mm,0,,59°54'52.49"N,155°58'48.04"W,59°58'42.00"N,156°06'18.00"W,59°58'36.00"N,155°51'24.00"W,59°51'06.00"N,155°51'24.00"W,59°51'06.00"N,156°06'18.00"W,59.914581,-155.980012,59.978333,-156.105,59.976667,-155.856667,59.851667,-155.856667,59.851667,-156.105,AR5780026677736,AR5780026677736,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677736
14,AR5780026677735,5,,2,78000,,002667,7735,1978/08/26,65600,0000,13,8,1,5780026677735,65003,229mm x 229mm,304.68 mm,5,,59°54'46.32"N,155°55'06.17"W,59°58'42.00"N,156°02'35.99"W,59°58'20.80"N,155°47'42.00"W,59°50'50.46"N,155°47'35.99"W,59°51'12.00"N,156°02'30.01"W,59.912867,-155.91838,59.978333,-156.04333,59.972444,-155.795,59.847349,-155.79333,59.853333,-156.04167,AR5780026677735,AR5780026677735,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677735
15,AR5780026677734,5,,2,78000,,002667,7734,1978/08/26,65600,0000,13,8,1,5780026677734,65003,229mm x 229mm,304.68 mm,5,,59°54'37.47"N,155°48'55.51"W,59°58'32.35"N,155°55'49.33"W,59°58'11.15"N,155°40'55.34"W,59°50'42.39"N,155°42'01.33"W,59°51'03.93"N,155°56'55.36"W,59.910409,-155.815419,59.975654,-155.93037,59.969765,-155.68204,59.845109,-155.70037,59.851093,-155.94871,AR5780026677734,AR5780026677734,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677734
16,AR5780026677577,5,,2,78000,,002667,7577,1978/08/26,66000,0000,13,8,1,5780026677577,65003,229mm x 229mm,304.68 mm,0,,60°00'15.70"N,155°56'34.42"W,60°04'00.00"N,156°04'12.00"W,60°04'06.00"N,155°49'12.00"W,59°56'30.00"N,155°48'54.00"W,59°56'30.00"N,156°03'48.00"W,60.004361,-155.942895,60.066667,-156.07,60.068333,-155.82,59.941667,-155.815,59.941667,-156.063333,AR5780026677577,AR5780026677577,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677577
17,AR5780026677576,5,,2,78000,,002667,7576,1978/08/26,65500,0000,13,8,1,5780026677576,65003,229mm x 229mm,304.68 mm,6,,60°00'26.39"N,155°54'03.90"W,60°04'06.00"N,156°01'54.01"W,60°04'14.59"N,155°46'48.00"W,59°56'48.76"N,155°46'18.01"W,59°56'36.00"N,156°01'23.99"W,60.007331,-155.901082,60.068333,-156.03167,60.070719,-155.78,59.946878,-155.77167,59.943333,-156.02333,AR5780026677576,AR5780026677576,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677576
18,AR5780026677575,5,,2,78000,,002667,7575,1978/08/26,65500,0000,13,8,1,5780026677575,65003,229mm x 229mm,304.68 mm,6,,60°00'30.87"N,155°47'45.99"W,60°04'09.64"N,155°55'30.00"W,60°04'18.00"N,155°40'48.00"W,59°56'54.00"N,155°40'05.99"W,59°56'41.58"N,155°54'47.99"W,60.008576,-155.796109,60.069344,-155.925,60.071667,-155.68,59.948333,-155.66833,59.944882,-155.91333,AR5780026677575,AR5780026677575,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677575
19,AR5780026677517,5,,2,78000,,002667,7517,1978/08/26,65000,0000,13,8,0,5780026677517,65003,229mm x 229mm,304.68 mm,5,,60°11'51.00"N,155°34'10.01"W,60°15'36.00"N,155°41'58.02"W,60°15'36.00"N,155°27'10.01"W,60°08'06.00"N,155°26'22.02"W,60°08'06.00"N,155°41'10.00"W,60.197499,-155.569447,60.26,-155.69945,60.26,-155.45278,60.135,-155.43945,60.135,-155.68611,AR5780026677517,AR5780026677517,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677517
20,AR5780026677740,5,,2,78000,,002667,7740,1978/08/26,65562,0000,13,8,1,5780026677740,65003,229mm x 229mm,304.68 mm,5,,60°05'52.64"N,155°38'49.63"W,60°09'36.71"N,155°46'25.21"W,60°09'37.48"N,155°31'32.81"W,60°02'08.94"N,155°31'14.81"W,60°02'07.41"N,155°46'07.21"W,60.097955,-155.647119,60.160197,-155.77367,60.16041,-155.52578,60.035818,-155.52078,60.035392,-155.76867,AR5780026677740,AR5780026677740,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677740
21,AR5780026677516,5,,2,78000,,002667,7516,1978/08/26,65000,0000,13,8,0,5780026677516,65003,229mm x 229mm,304.68 mm,5,,60°11'51.00"N,155°40'50.01"W,60°15'36.00"N,155°48'38.02"W,60°15'36.00"N,155°33'50.00"W,60°08'06.00"N,155°33'02.02"W,60°08'06.00"N,155°47'49.99"W,60.197499,-155.680557,60.26,-155.81056,60.26,-155.56389,60.135,-155.55056,60.135,-155.79722,AR5780026677516,AR5780026677516,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677516
22,AR5780026677739,5,,2,78000,,002667,7739,1978/08/26,65562,0000,13,8,1,5780026677739,65003,229mm x 229mm,304.68 mm,5,,60°05'52.11"N,155°45'39.22"W,60°09'36.35"N,155°53'15.22"W,60°09'37.12"N,155°38'21.98"W,60°02'08.24"N,155°38'03.98"W,60°02'06.71"N,155°52'57.22"W,60.097808,-155.760895,60.160098,-155.88756,60.160312,-155.63944,60.035622,-155.63444,60.035196,-155.88256,AR5780026677739,AR5780026677739,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677739
23,AR5780026677515,5,,2,78000,,002667,7515,1978/08/26,65000,0000,13,8,0,5780026677515,65003,229mm x 229mm,304.68 mm,5,,60°11'51.00"N,155°47'30.00"W,60°15'36.00"N,155°55'18.01"W,60°15'36.00"N,155°40'30.00"W,60°08'06.00"N,155°39'42.01"W,60°08'06.00"N,155°54'29.99"W,60.197499,-155.791667,60.26,-155.92167,60.26,-155.675,60.135,-155.66167,60.135,-155.90833,AR5780026677515,AR5780026677515,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677515
24,AR5780026677738,5,,2,78000,,002667,7738,1978/08/26,65562,0000,13,8,1,5780026677738,65003,229mm x 229mm,304.68 mm,5,,60°05'51.58"N,155°52'29.62"W,60°09'36.00"N,156°00'06.01"W,60°09'36.77"N,155°45'11.99"W,60°02'07.54"N,155°44'53.99"W,60°02'06.00"N,155°59'48.01"W,60.097661,-155.874894,60.16,-156.00167,60.160214,-155.75333,60.035427,-155.74833,60.035,-155.99667,AR5780026677738,AR5780026677738,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677738
25,AR5780026677514,5,,2,78000,,002667,7514,1978/08/26,64500,0000,13,8,0,5780026677514,65003,229mm x 229mm,304.68 mm,5,,60°11'59.59"N,155°54'02.56"W,60°15'44.63"N,156°01'36.01"W,60°15'42.00"N,155°46'41.99"W,60°08'12.00"N,155°46'23.99"W,60°08'19.75"N,156°01'18.01"W,60.199885,-155.900711,60.262397,-156.02667,60.261667,-155.77833,60.136667,-155.77333,60.13882,-156.02167,AR5780026677514,AR5780026677514,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677514
26,AR5780026677737,5,,2,78000,,002667,7737,1978/08/26,65000,0000,13,8,2,5780026677737,65003,229mm x 229mm,304.68 mm,0,,60°05'59.24"N,155°58'28.52"W,60°09'48.00"N,156°05'54.00"W,60°09'42.00"N,155°51'00.00"W,60°02'12.00"N,155°51'06.00"W,60°02'18.00"N,156°05'54.00"W,60.09979,-155.97459,60.163333,-156.098333,60.161667,-155.85,60.036667,-155.851667,60.038333,-156.098333,AR5780026677737,AR5780026677737,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677737
27,AR5780026677513,5,,2,78000,,002667,7513,1978/08/26,64500,0000,13,8,0,5780026677513,65003,229mm x 229mm,304.68 mm,5,,60°12'02.08"N,156°00'54.53"W,60°15'45.78"N,156°08'06.00"W,60°15'43.17"N,155°53'20.00"W,60°08'15.76"N,155°53'38.00"W,60°08'23.45"N,156°08'24.00"W,60.200578,-156.015147,60.262716,-156.135,60.261992,-155.88889,60.137712,-155.89389,60.139846,-156.14,AR5780026677513,AR5780026677513,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677513
28,AR5780026677802,5,,2,78000,,002667,7802,1978/08/26,66000,0000,13,8,2,5780026677802,65003,229mm x 229mm,304.68 mm,0,,60°18'33.00"N,155°57'00.00"W,60°22'36.00"N,156°04'12.00"W,60°22'06.00"N,155°49'00.00"W,60°14'30.00"N,155°49'48.00"W,60°15'00.00"N,156°05'00.00"W,60.309167,-155.95,60.376667,-156.07,60.368333,-155.816667,60.241667,-155.83,60.25,-156.083333,AR5780026677802,AR5780026677802,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677802
29,AR5780026677800,5,,2,78000,,002667,7800,1978/08/26,66000,0000,13,8,1,5780026677800,65003,229mm x 229mm,304.68 mm,5,,60°18'25.37"N,155°42'44.31"W,60°22'18.30"N,155°50'06.00"W,60°22'06.00"N,155°34'59.99"W,60°14'30.00"N,155°35'17.99"W,60°14'46.94"N,155°50'24.00"W,60.307047,-155.712307,60.371749,-155.835,60.368333,-155.58333,60.241667,-155.58833,60.246371,-155.84,AR5780026677800,AR5780026677800,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677800
30,AR5780026677801,5,,2,78000,,002667,7801,1978/08/26,66000,0000,13,8,1,5780026677801,65003,229mm x 229mm,304.68 mm,5,,60°18'31.74"N,155°49'26.30"W,60°22'24.00"N,155°57'06.01"W,60°22'11.78"N,155°42'06.01"W,60°14'37.18"N,155°41'42.00"W,60°14'54.00"N,155°56'42.00"W,60.308818,-155.823971,60.373333,-155.95167,60.369939,-155.70167,60.243661,-155.695,60.248333,-155.945,AR5780026677801,AR5780026677801,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677801
31,AR5780026677798,5,,2,78000,,002667,7798,1978/08/26,66000,0000,13,8,3,5780026677798,65003,229mm x 229mm,304.68 mm,5,,60°18'26.83"N,155°29'01.45"W,60°22'15.13"N,155°36'35.24"W,60°22'08.71"N,155°21'33.77"W,60°14'38.57"N,155°21'27.76"W,60°14'44.88"N,155°36'29.27"W,60.307452,-155.483737,60.37087,-155.60979,60.369085,-155.35938,60.244046,-155.35771,60.245801,-155.60813,AR5780026677798,AR5780026677798,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677798
32,AR5780026677799,5,,2,78000,,002667,7799,1978/08/26,66000,0000,13,8,3,5780026677799,65003,229mm x 229mm,304.68 mm,5,,60°18'29.82"N,155°36'05.96"W,60°22'18.00"N,155°43'18.01"W,60°22'11.59"N,155°28'18.01"W,60°14'41.69"N,155°28'54.01"W,60°14'48.00"N,155°43'54.01"W,60.308283,-155.601656,60.371667,-155.72167,60.369886,-155.47167,60.244915,-155.48167,60.246667,-155.73167,AR5780026677799,AR5780026677799,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677799
33,AR5780026677505,5,,2,78000,,002667,7505,1978/08/26,65857,0000,13,8,0,5780026677505,65003,229mm x 229mm,304.68 mm,5,,60°24'36.60"N,155°26'22.02"W,60°28'32.83"N,155°33'45.50"W,60°28'10.33"N,155°18'34.49"W,60°20'40.35"N,155°18'58.50"W,60°21'02.89"N,155°34'09.52"W,60.410167,-155.439451,60.475786,-155.56264,60.469537,-155.30958,60.344542,-155.31625,60.350802,-155.56931,AR5780026677505,AR5780026677505,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677505
34,AR5780026677506,5,,2,78000,,002667,7506,1978/08/26,65857,0000,13,8,0,5780026677506,65003,229mm x 229mm,304.68 mm,5,,60°24'46.91"N,155°33'19.02"W,60°28'43.11"N,155°40'41.99"W,60°28'20.64"N,155°25'32.02"W,60°20'50.68"N,155°25'55.99"W,60°21'13.19"N,155°41'06.00"W,60.413031,-155.555283,60.478642,-155.67833,60.472401,-155.42556,60.347411,-155.43222,60.353663,-155.685,AR5780026677506,AR5780026677506,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677506
35,AR5780026677507,5,,2,78000,,002667,7507,1978/08/26,65857,0000,13,8,0,5780026677507,65003,229mm x 229mm,304.68 mm,5,,60°24'57.19"N,155°40'15.02"W,60°28'53.37"N,155°47'37.50"W,60°28'30.93"N,155°32'28.50"W,60°21'00.98"N,155°32'52.51"W,60°21'23.46"N,155°48'01.51"W,60.415885,-155.67084,60.481492,-155.79375,60.475257,-155.54125,60.350273,-155.54792,60.356518,-155.80042,AR5780026677507,AR5780026677507,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677507
36,AR5780026677508,5,,2,78000,,002667,7508,1978/08/26,65857,0000,13,8,0,5780026677508,65003,229mm x 229mm,304.68 mm,5,,60°25'07.45"N,155°47'10.02"W,60°29'03.61"N,155°54'32.00"W,60°28'41.19"N,155°39'24.01"W,60°21'11.26"N,155°39'47.99"W,60°21'33.72"N,155°54'56.02"W,60.418735,-155.786118,60.484335,-155.90889,60.478107,-155.65667,60.353127,-155.66333,60.359366,-155.91556,AR5780026677508,AR5780026677508,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677508
37,AR5780026677856,5,,2,78000,,002667,7856,1978/08/26,63000,0000,13,8,0,5780026677856,65003,229mm x 229mm,304.68 mm,0,,61°29'57.00"N,153°24'06.00"W,61°33'24.00"N,153°31'48.00"W,61°33'42.00"N,153°16'48.00"W,61°26'30.00"N,153°16'24.00"W,61°26'12.00"N,153°31'24.00"W,61.499167,-153.401667,61.556667,-153.53,61.561667,-153.28,61.441667,-153.273333,61.436667,-153.523333,AR5780026677856,AR5780026677856,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677856
38,AR5780026677855,5,,2,78000,,002667,7855,1978/08/26,63600,0000,13,8,0,5780026677855,65003,229mm x 229mm,304.68 mm,5,,61°30'08.50"N,153°27'58.95"W,61°33'48.00"N,153°35'35.99"W,61°33'48.00"N,153°20'42.00"W,61°26'30.00"N,153°20'24.00"W,61°26'27.96"N,153°35'17.99"W,61.502361,-153.466376,61.563333,-153.59333,61.563333,-153.345,61.441667,-153.34,61.4411,-153.58833,AR5780026677855,AR5780026677855,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677855
39,AR5780026677918,5,,2,78000,,002667,7918,1978/08/26,64166,0000,13,8,1,5780026677918,65003,229mm x 229mm,304.68 mm,5,,61°34'39.40"N,153°27'41.00"W,61°38'19.71"N,153°35'42.00"W,61°38'12.00"N,153°20'35.99"W,61°31'00.00"N,153°19'41.99"W,61°31'05.82"N,153°34'48.00"W,61.577612,-153.46139,61.638809,-153.595,61.636667,-153.34333,61.516667,-153.32833,61.518282,-153.58,AR5780026677918,AR5780026677918,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677918
40,AR5780026677854,5,,2,78000,,002667,7854,1978/08/26,63600,0000,13,8,0,5780026677854,65003,229mm x 229mm,304.68 mm,5,,61°30'07.93"N,153°35'15.45"W,61°33'48.00"N,153°42'25.49"W,61°33'48.00"N,153°27'25.49"W,61°26'28.94"N,153°28'07.50"W,61°26'26.89"N,153°43'07.50"W,61.502204,-153.587624,61.563333,-153.70708,61.563333,-153.45708,61.441373,-153.46875,61.440802,-153.71875,AR5780026677854,AR5780026677854,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677854
41,AR5780026677917,5,,2,78000,,002667,7917,1978/08/26,64166,0000,13,8,1,5780026677917,65003,229mm x 229mm,304.68 mm,5,,61°34'42.47"N,153°34'27.38"W,61°38'23.31"N,153°42'44.17"W,61°38'15.58"N,153°27'36.54"W,61°31'02.51"N,153°26'12.55"W,61°31'08.33"N,153°41'20.18"W,61.578463,-153.574271,61.639807,-153.71227,61.637661,-153.46015,61.517363,-153.43682,61.518981,-153.68894,AR5780026677917,AR5780026677917,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677917
42,AR5780026677916,5,,2,78000,,002667,7916,1978/08/26,64166,0000,13,8,1,5780026677916,65003,229mm x 229mm,304.68 mm,5,,61°34'45.62"N,153°41'30.37"W,61°38'26.91"N,153°49'48.00"W,61°38'19.17"N,153°34'38.71"W,61°31'05.22"N,153°33'14.72"W,61°31'11.05"N,153°48'24.01"W,61.57934,-153.69177,61.640809,-153.83,61.638659,-153.57742,61.518116,-153.55409,61.519737,-153.80667,AR5780026677916,AR5780026677916,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677916
43,AR5780026677911,5,,2,78000,,002667,7911,1978/08/26,64166,0000,13,8,1,5780026677911,65003,229mm x 229mm,304.68 mm,5,,61°35'01.60"N,154°17'09.91"W,61°38'45.15"N,154°25'31.62"W,61°38'37.35"N,154°10'14.20"W,61°31'18.92"N,154°08'50.17"W,61°31'24.81"N,154°24'07.63"W,61.583777,-154.286086,61.645876,-154.42545,61.643707,-154.17061,61.521922,-154.14727,61.523558,-154.40212,AR5780026677911,AR5780026677911,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677911
44,AR5780026677912,5,,2,78000,,002667,7912,1978/08/26,64166,0000,13,8,1,5780026677912,65003,229mm x 229mm,304.68 mm,5,,61°34'58.38"N,154°09'58.73"W,61°38'41.48"N,154°18'19.62"W,61°38'33.68"N,154°03'03.82"W,61°31'16.16"N,154°01'39.83"W,61°31'22.04"N,154°16'55.63"W,61.582882,-154.166314,61.644855,-154.30545,61.64269,-154.05106,61.521155,-154.02773,61.522788,-154.28212,AR5780026677912,AR5780026677912,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677912
45,AR5780026677913,5,,2,78000,,002667,7913,1978/08/26,64166,0000,13,8,1,5780026677913,65003,229mm x 229mm,304.68 mm,5,,61°34'55.17"N,154°02'49.20"W,61°38'37.82"N,154°11'09.28"W,61°38'30.04"N,153°55'55.09"W,61°31'13.41"N,153°54'31.10"W,61°31'19.27"N,154°09'45.29"W,61.581992,-154.046999,61.643838,-154.18591,61.641677,-153.93197,61.520391,-153.90864,61.52202,-154.16258,AR5780026677913,AR5780026677913,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677913
46,AR5780026677852,5,,2,78000,,002667,7852,1978/08/26,63600,0000,13,8,0,5780026677852,65003,229mm x 229mm,304.68 mm,5,,61°30'06.98"N,153°49'06.43"W,61°33'48.00"N,153°56'22.49"W,61°33'48.00"N,153°41'10.50"W,61°26'27.06"N,153°41'52.51"W,61°26'24.98"N,153°57'04.50"W,61.50194,-153.818452,61.563333,-153.93958,61.563333,-153.68625,61.44085,-153.69792,61.440271,-153.95125,AR5780026677852,AR5780026677852,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677852
47,AR5780026677915,5,,2,78000,,002667,7915,1978/08/26,64166,0000,13,8,1,5780026677915,65003,229mm x 229mm,304.68 mm,5,,61°34'48.80"N,153°48'35.01"W,61°38'30.53"N,153°56'53.45"W,61°38'22.78"N,153°41'42.54"W,61°31'07.94"N,153°40'18.55"W,61°31'13.78"N,153°55'29.46"W,61.580221,-153.809725,61.641815,-153.94818,61.639661,-153.69515,61.518871,-153.67182,61.520495,-153.92485,AR5780026677915,AR5780026677915,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677915
48,AR5780026677851,5,,2,78000,,002667,7851,1978/08/26,63600,0000,13,8,0,5780026677851,65003,229mm x 229mm,304.68 mm,5,,61°30'06.50"N,153°56'10.91"W,61°33'48.00"N,154°03'29.99"W,61°33'48.00"N,153°48'11.99"W,61°26'26.10"N,153°48'54.00"W,61°26'24.00"N,154°04'12.00"W,61.501806,-153.936364,61.563333,-154.05833,61.563333,-153.80333,61.440582,-153.815,61.44,-154.07,AR5780026677851,AR5780026677851,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677851
49,AR5780026677914,5,,2,78000,,002667,7914,1978/08/26,64166,0000,13,8,1,5780026677914,65003,229mm x 229mm,304.68 mm,5,,61°34'51.97"N,153°55'41.28"W,61°38'34.17"N,154°04'00.55"W,61°38'26.40"N,153°48'47.99"W,61°31'10.67"N,153°47'24.00"W,61°31'16.52"N,154°02'36.53"W,61.581103,-153.928132,61.642824,-154.06682,61.640667,-153.81333,61.51963,-153.79,61.521256,-154.04348,AR5780026677914,AR5780026677914,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677914
50,AR5780026677850,5,,2,78000,,002667,7850,1978/08/26,63500,0000,13,8,1,5780026677850,65003,229mm x 229mm,304.68 mm,6,,61°30'15.36"N,154°03'48.91"W,61°33'35.18"N,154°11'24.00"W,61°34'12.00"N,153°56'24.00"W,61°27'00.00"N,153°56'24.00"W,61°26'13.30"N,154°11'24.00"W,61.504266,-154.063587,61.559773,-154.19,61.57,-153.94,61.45,-153.94,61.437029,-154.19,AR5780026677850,AR5780026677850,http://earthexplorer.usgs.gov/download/options/4660/AR5780026677850
